problem_id,category,truth
2oJdf,unknown,
gKPb4,unknown,inappropriate
zvXPn,unknown,
mHtKQ,unknown,inappropriate
XE5oE,unknown,inappropriate
TCinA,unknown,appropriate
moWjD,unknown,inappropriate
qUGBo,unknown,inappropriate
ZGlDS,unknown,inappropriate
PRcaf,unknown,inappropriate
mZ5zR,unknown,appropriate
2flFc,unknown,
tOfjr,unknown,
X0hrt,unknown,inappropriate
dH82r,unknown,inappropriate
jFWoh,unknown,inappropriate
5DsLp,unknown,inappropriate
UPFkK,unknown,
I9QTc,unknown,
dIbfh,unknown,
fXA7k,unknown,inappropriate
9nSEk,unknown,inappropriate
Z2nOq,unknown,
cV2Wj,unknown,appropriate
PgveS,unknown,inappropriate
prSsi,unknown,inappropriate
m0iNC,unknown,inappropriate
WPHOw,unknown,inappropriate
roAbh,unknown,inappropriate
ijJt6,unknown,inappropriate
30gEV,unknown,
oTqSm,unknown,
88XpX,unknown,appropriate
ZLfld,unknown,
Ha0lR,unknown,
Y9t3t,unknown,appropriate
6vzaD,unknown,
1Y2UO,unknown,inappropriate
7kFNo,unknown,
b4ejO,unknown,
KFbAE,unknown,inappropriate
LeOzW,unknown,inappropriate
otedB,unknown,
nrNsl,known,appropriate
2OXqf,known,
9jcD1,known,appropriate
aDzn0,known,appropriate
xAt1k,known,
1wlhA,unknown,appropriate
merhN,unknown,inappropriate
5CeFg,unknown,
XBCNz,unknown,appropriate
86MgL,unknown,
jCdZF,unknown,inappropriate
bjMXa,unknown,inappropriate
s5oBc,unknown,
D8g0X,unknown,inappropriate
IZ6Jo,unknown,inappropriate
s5Vk6,unknown,
s4CVl,unknown,inappropriate
pVzBY,unknown,
dM5ae,unknown,
VejQD,unknown,inappropriate
jjav2,unknown,appropriate
kmb7q,unknown,appropriate
K7z8B,unknown,
WjN7e,unknown,appropriate
twrJM,unknown,appropriate
XvXUW,unknown,appropriate
kGbCK,unknown,
m7MAu,unknown,appropriate
sZs9e,unknown,inappropriate
8EKE6,unknown,inappropriate
PXXCT,unknown,inappropriate
VEDV0,unknown,
xLTq2,unknown,
hNGiv,unknown,inappropriate
qrBZs,unknown,appropriate
pqMDD,unknown,inappropriate
nA6kb,unknown,
AHATe,unknown,inappropriate
Hhxt0,unknown,inappropriate
PotWa,unknown,appropriate
YmRTB,unknown,
hHWL3,unknown,
rHHFS,unknown,appropriate
XrWem,unknown,inappropriate
SiNB1,unknown,appropriate
9tNo6,unknown,
wlbEr,unknown,
gcKcy,unknown,inappropriate
WA29W,unknown,
mcKN3,unknown,appropriate
dS6ka,unknown,appropriate
9p5qj,unknown,
4nC7q,unknown,
OXAWb,unknown,appropriate
jP8Dj,unknown,
FZkFk,unknown,
pKl8D,unknown,appropriate
