user,problem_id,start_date,end_date,appropriateness,inappropriate_nodes
SE7,pKl8D,2015-01-02 02:54:51,2015-01-02 02:55:13,5,[]
SE5,oTqSm,2014-12-18 07:03:56,2014-12-18 07:04:22,4,[]
SE5,K7z8B,2014-12-18 06:20:30,2014-12-18 06:20:49,4,[]
E4,pVzBY,2014-12-26 20:36:44,2014-12-26 20:36:57,1,"[11, 12, 13, 14, 15, 16, 17, 18]"
NE4,7kFNo,2014-12-24 13:05:55,2014-12-24 13:06:45,4,[]
SE5,LeOzW,2014-12-18 08:01:53,2014-12-18 08:02:55,2,"[10, 11, 14]"
SE8,otedB,2014-12-24 22:54:28,2014-12-24 22:54:38,4,[]
SE5,KFbAE,2014-12-18 06:20:11,2014-12-18 06:20:29,4,[]
SE4,ZLfld,2014-12-19 03:34:18,2014-12-19 03:34:35,4,[]
E5,s5oBc,2014-12-31 07:44:10,2014-12-31 07:44:29,1,"[22, 23]"
NE1,ZLfld,2014-12-25 04:25:15,2014-12-25 04:25:41,2,"[12, 13, 14, 15, 16, 17]"
SE4,xAt1k,2014-12-19 03:19:05,2014-12-19 03:19:19,5,[]
E5,5CeFg,2014-12-31 23:17:28,2014-12-31 23:18:01,1,"[7, 8]"
E2,6vzaD,2014-12-26 01:30:26,2014-12-26 01:30:34,5,[]
SE9,XBCNz,2014-12-25 09:45:55,2014-12-25 09:46:23,2,"[23, 24]"
NE1,kGbCK,2014-12-25 04:16:13,2014-12-25 04:16:38,5,[]
SE7,30gEV,2015-01-02 02:14:37,2015-01-02 02:15:03,5,[]
NE1,4nC7q,2014-12-25 04:06:16,2014-12-25 04:06:46,2,"[8, 9, 10, 11, 16, 17]"
E1,6vzaD,2015-02-19 09:08:11,2015-02-19 09:11:45,5,[]
E1,1Y2UO,2015-02-20 06:21:49,2015-02-20 06:22:04,4,[]
SE5,gcKcy,2014-12-18 06:32:56,2014-12-18 06:33:22,2,"[10, 11, 12]"
SE8,88XpX,2014-12-24 22:51:01,2014-12-24 22:51:18,4,[]
SE1,Y9t3t,2014-12-19 12:31:36,2014-12-19 12:32:00,3,[]
E5,LeOzW,2014-12-31 23:20:16,2014-12-31 23:20:38,1,"[10, 11, 14]"
SE9,oTqSm,2015-01-02 02:13:55,2015-01-02 02:14:09,5,[]
NE4,nA6kb,2014-12-24 12:46:31,2014-12-24 12:46:41,4,[]
SE1,2OXqf,2014-12-19 11:23:09,2014-12-19 11:23:24,3,[]
SE9,xLTq2,2015-01-02 02:05:24,2015-01-02 02:05:49,2,"[13, 14]"
NE4,Ha0lR,2014-12-24 12:59:16,2014-12-24 12:59:25,4,[]
E1,8EKE6,2015-02-21 01:04:39,2015-02-21 01:05:01,2,"[21, 22]"
E2,5CeFg,2014-12-19 01:58:26,2014-12-19 01:58:49,5,[]
SE9,m7MAu,2015-01-02 02:13:35,2015-01-02 02:13:54,5,[]
SE4,m7MAu,2014-12-19 03:23:52,2014-12-19 03:24:06,4,[]
SE3,OXAWb,2014-12-26 11:00:13,2014-12-26 11:00:41,4,[]
SE7,roAbh,2015-01-02 02:12:19,2015-01-02 02:12:33,5,[]
SE9,K7z8B,2015-01-02 02:14:29,2015-01-02 02:14:42,4,[]
NE4,X0hrt,2014-12-24 12:59:57,2014-12-24 13:00:20,3,[]
SE7,sZs9e,2015-01-02 03:08:00,2015-01-02 03:08:20,4,[]
NE1,gKPb4,2014-12-25 04:31:27,2014-12-25 04:32:16,2,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]"
NE2,PXXCT,2015-01-16 12:25:08,2015-01-16 12:25:24,4,[]
SE7,VEDV0,2015-01-02 03:03:05,2015-01-02 03:03:24,5,[]
SE4,mHtKQ,2014-12-19 03:16:30,2014-12-19 03:16:48,4,[]
SE5,hNGiv,2014-12-18 07:03:38,2014-12-18 07:03:55,2,"[28, 29, 30]"
E5,qrBZs,2015-01-05 01:07:07,2015-01-05 01:07:24,1,"[1, 2, 3, 4, 5, 6, 29]"
SE7,pqMDD,2015-01-02 02:54:30,2015-01-02 02:54:50,2,"[13, 14, 15, 16, 17]"
SE3,XE5oE,2014-12-26 04:03:45,2014-12-26 04:04:21,2,"[1, 2, 3, 4, 5, 6, 7, 8]"
E1,TCinA,2015-02-19 09:22:12,2015-02-19 09:22:34,5,[]
SE1,AHATe,2014-12-19 12:38:25,2014-12-19 12:38:43,2,"[19, 28, 29, 30]"
SE4,Hhxt0,2014-12-19 03:27:14,2014-12-19 03:27:31,4,[]
NE4,5CeFg,2014-12-24 13:00:53,2014-12-24 13:01:08,4,[]
SE5,PotWa,2014-12-18 06:25:14,2014-12-18 06:25:28,4,[]
NE2,moWjD,2015-01-16 12:19:14,2015-01-16 12:19:34,2,"[13, 14, 15]"
E4,hHWL3,2014-12-26 20:08:34,2014-12-26 20:08:55,2,"[7, 8, 9]"
SE4,7kFNo,2014-12-19 03:32:10,2014-12-19 03:32:38,1,"[20, 21, 22]"
SE3,FZkFk,2014-12-26 10:15:14,2014-12-26 10:15:49,2,"[3, 4, 10, 11, 12, 13]"
SE7,2oJdf,2015-01-02 03:19:33,2015-01-02 03:19:50,1,"[9, 10, 11, 12, 13, 14]"
SE3,AHATe,2014-12-26 10:13:32,2014-12-26 10:14:15,2,"[28, 29, 30]"
E1,mHtKQ,2015-02-20 12:51:52,2015-02-20 12:52:58,3,[]
SE4,XrWem,2014-12-19 03:23:20,2014-12-19 03:23:36,1,"[18, 19, 20]"
SE4,SiNB1,2014-12-19 03:26:03,2014-12-19 03:26:18,5,[]
E4,9jcD1,2014-12-26 20:17:12,2014-12-26 20:17:28,2,"[22, 23, 24, 25]"
